Method,NoiseFolder,Poisson,Gauss,File,PSNR,SSIM,MS-SSIM,MAE,LPIPS
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_035.tif,20.739283401325128,0.16101109553639315,0.8509402275085449,0.08943907916545868,0.23083956707268954
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_036.tif,20.90846068422298,0.13533817768572307,0.8148764967918396,0.0880703255534172,0.21954493448138238
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_037.tif,19.630529237477536,0.14263260573794567,0.8088163733482361,0.10222484916448593,0.23852493204176425
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_038.tif,23.17551248954973,0.15846187393817515,0.8531731963157654,0.06695611774921417,0.23829639963805677
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_040.tif,20.49024283189025,0.16467724808893028,0.8499753475189209,0.09199639409780502,0.23827832285314798
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_039.tif,20.910374791460306,0.15676887563368702,0.8570349216461182,0.08763547986745834,0.23729783538728952
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_041.tif,23.00688341074796,0.16321748940007583,0.8623923063278198,0.06811465322971344,0.23683706242591143
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_042.tif,21.3412690071832,0.14084351256474723,0.8268559575080872,0.08359742909669876,0.2395573690533638
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_043.tif,21.07593265663369,0.17482477001550756,0.8685747385025024,0.08563093841075897,0.23835544604808093
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_044.tif,19.56016538005048,0.15770100713573934,0.8252781629562378,0.10297604650259018,0.23440828882157802
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_045.tif,20.669765370280935,0.136614493285436,0.8372058272361755,0.09043171256780624,0.23468214254826308
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_046.tif,23.28329679826976,0.16274951011057873,0.8472383618354797,0.06607122719287872,0.24511161707341672
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_047.tif,22.714814956645295,0.15286840367761692,0.834561288356781,0.07083485275506973,0.24064576402306556
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_049.tif,22.540055396954905,0.16579869790392476,0.8595073819160461,0.07198619842529297,0.22932930774986743
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_048.tif,20.39522342327914,0.153845692487846,0.8389855623245239,0.09317946434020996,0.24429190177470445
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_050.tif,19.815288632579676,0.12312682110321684,0.8090363144874573,0.10026229918003082,0.23662565518170595
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_051.tif,21.142915284633478,0.17792467918207994,0.859812319278717,0.08488903194665909,0.2506835751235485
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_053.tif,21.986101607919082,0.18069927301181943,0.8658557534217834,0.07648365199565887,0.24465626943856478
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_052.tif,22.476489740605032,0.1749040507857767,0.8731789588928223,0.0723486915230751,0.2233268642798066
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_054.tif,21.731014373559127,0.14987998064024635,0.8350215554237366,0.0797060951590538,0.2316570520401001
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_055.tif,22.71603613485791,0.18554476990251365,0.8899260759353638,0.06974989175796509,0.24565325658768417
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_056.tif,22.06876510489576,0.16435460869157933,0.8531649112701416,0.07619936019182205,0.2405092040076852
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_059.tif,23.10136308885717,0.16428545288657562,0.8401228189468384,0.06771411001682281,0.23447611667215823
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_058.tif,19.974733967261248,0.1494902226179739,0.8347079753875732,0.0980483815073967,0.2376586902886629
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_057.tif,22.814230377651484,0.19269754998206823,0.8756072521209717,0.06917358189821243,0.24316306430846452
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_060.tif,23.502847855858995,0.1675484888856005,0.8601093888282776,0.06416808068752289,0.24670716915279628
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_063.tif,22.477782203550696,0.17887073905765616,0.8691439032554626,0.07224784791469574,0.25325802285224197
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_061.tif,23.107745211464525,0.20197252201094257,0.8913466930389404,0.06610967963933945,0.24164669625461102
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_062.tif,22.06864983392897,0.14483981308387375,0.8558841943740845,0.07646235078573227,0.2297737803310156
BM3DFilter,poisson_16_gauss_0.1,16.0,0.1,sticks_067.tif,23.372915456475557,0.19937829277561006,0.8826077580451965,0.06417063623666763,0.2461923986673355
